observer_summit_id,observer_latitude,observer_longitude,observer_elevation,target_summit_id,target_latitude,target_longitude,target_elevation,distance,contrast
1268243,16.765,-94.4517,2283.54,498108,19.4942,-97.1475,4185.31,416208,0.0365
1708522,16.7717,-94.1919,1957.83,383919,18.9856,-97.3142,4580.73,412016,0.0492
3083467,23.9639,86.1286,1380.91,2,27.7028,88.1475,8564.29,462219,0.0281
200673,28.0117,97.2531,5103.26,370,27.8725,92.5297,7029.02,464217,0.1277
569570,27.4233,96.9314,3922.82,2260,27.8469,92.3947,6490.56,449357,0.1118
592912,25.74,95.037,3833.69,827,29.8325,94.8672,6750.61,455371,0.0258
657694,27.7961,96.5911,3574.14,136070,27.8167,92.5228,5312.68,400126,0.1375
692829,26.9997,97.2133,3428.42,4688,28.1725,92.6747,6316.17,465881,0.0754
805910,25.5975,94.0664,3019.2,415,29.6622,95.1344,6984.65,464049,0.0235
947778,25.1683,93.91,2689.85,289437,27.2756,90.3778,4853.26,423107,0.056
1453569,26.1642,94.6067,2127.65,6180,29.4308,96.3625,6254.2,402178,0.0449
1519777,25.2744,93.4703,2079.86,97,28.0475,90.4544,7501.17,429960,0.0585
1701340,25.5308,91.8497,1962.31,153,27.6881,88.0497,7363.68,447464,0.0615
2102412,25.0992,93.0469,1746.09,121,28.2272,90.6153,7428.03,423478,0.0477
1920114,28.1417,105.7628,1837.84,15787,31.1064,102.9019,6040.85,430243,0.038
2052527,28.4814,106.3283,1770.32,115,29.595,101.8792,7437.52,449867,0.0833
986637,33.9506,35.8886,2623.33,694501,37.3453,34.3595,3421.18,401947,0.0254
1121844,38.6006,48.4581,2437.0,66440,35.9544,52.1105,5598.75,436976,0.0449
851992,36.8367,55.2853,2892.98,628681,36.8408,50.3842,3692.33,436111,0.0655
1024165,37.0933,55.6314,2565.48,502104,36.5117,50.6986,4170.56,443871,0.0612
105936,35.9303,69.9414,5422.37,93075,39.5656,70.22,5474.65,404967,0.0508
299351,35.2875,68.7422,4825.3,172551,39.3289,70.0447,5189.77,463896,0.0247
306952,39.2742,69.4325,4803.86,250264,35.1544,68.4764,4962.85,465849,0.0216
324184,39.1756,68.98,4754.96,284481,35.0833,68.3094,4867.37,458905,0.0219
340644,39.2572,69.12,4708.26,57303,35.5864,70.1639,5651.36,418445,0.0454
440356,38.76,67.5839,4393.33,62,36.2544,71.8417,7695.1,467538,0.0791
443072,39.0131,67.545,4384.02,610,36.1786,70.9831,6849.26,437070,0.076
457399,39.0825,67.6689,4333.34,293506,35.2264,68.7808,4841.5,439944,0.0277
460933,35.4192,69.0883,4320.73,250662,39.3461,70.0108,4961.72,444185,0.0256
471530,38.8642,67.5406,4282.46,109,36.4328,71.83,7460.3,464353,0.0785
474444,34.1447,69.4055,4271.91,240713,34.7722,73.7294,4989.66,402492,0.1313
481565,35.3269,66.7597,4246.03,411432,39.0881,67.9208,4492.08,430669,0.0284
525190,35.7833,69.47,4086.03,159686,39.5156,70.1397,5231.82,419175,0.034
537333,35.5794,68.1992,4041.85,349498,38.9717,70.6683,4682.69,435858,0.035
542002,39.5364,68.4483,4024.79,436211,41.4114,72.9122,4407.85,431238,0.0646
572565,35.5333,67.6275,3911.55,420215,38.4458,70.5186,4462.68,413247,0.0502
600467,39.6014,68.5697,3803.87,517765,41.4981,72.907,4113.47,422737,0.0632
672669,32.6036,69.7039,3512.92,442010,34.2297,74.0283,4387.7,440154,0.0588
797957,35.9072,65.8006,3043.5,367006,39.0933,69.0186,4632.23,453911,0.0258
300,30.3133,79.7775,7112.27,10,28.6981,83.4894,8135.91,401576,0.2271
243123,39.3469,70.1369,4982.79,212869,35.3686,68.7953,5067.99,457966,0.0275
332077,33.7503,74.4667,4732.84,324290,34.0386,69.9019,4754.71,422509,0.1168
393280,33.9692,70.3758,4551.12,13,35.2386,74.5894,8104.31,410621,0.1781
673836,38.6978,70.1533,3507.9,321205,35.0256,68.1914,4763.3,444036,0.0256
95457,36.5219,80.3145,5464.83,99,38.6167,75.1947,7497.18,507695,0.0691
52823,37.6936,90.618,5679.28,44436,38.0381,95.3239,5738.86,414824,0.1593
686129,38.9103,105.9819,3456.24,157950,37.6928,101.5061,5237.24,413305,0.1043
1068395,32.5772,106.7397,2503.88,131611,30.7831,102.9886,5328.22,407129,0.0808
846000,42.5708,1.9317,2907.99,569636,44.8975,6.3964,3922.61,442168,0.035
959290,42.3792,8.9458,2669.49,396054,45.9425,7.8703,4542.39,405391,0.0276
1098883,42.6519,2.1925,2465.45,574017,45.0044,6.3122,3906.07,421379,0.0395
1091643,42.8244,13.275,2474.11,769274,46.2897,11.8303,3137.15,401946,0.0216
718765,40.3953,39.065,3323.63,193032,43.05,43.2128,5125.73,453367,0.0391
925630,40.5247,38.01,2731.45,60481,43.3525,42.438,5632.35,482587,0.0257
978156,40.3894,38.2953,2637.28,748377,43.7972,40.2111,3211.19,410548,0.0225
1385197,40.7303,39.1503,2180.89,422820,42.9736,43.4436,4453.72,434268,0.0383
1389307,40.8844,39.1014,2177.46,381390,42.775,43.8053,4588.72,442726,0.0413
1733011,40.9147,39.3919,1943.25,444965,42.7461,43.8692,4377.42,423097,0.048
624230,40.2789,46.3586,3710.0,234550,43.0508,43.1344,5006.78,408259,0.0596
857455,42.0461,46.0289,2879.19,306403,38.2669,47.8367,4805.46,447400,0.0201
29198,41.0594,77.6839,5875.08,4428,36.535,77.29,6329.83,504245,0.0205
30272,41.0036,77.6167,5864.22,3923,36.4844,77.4847,6359.64,502642,0.0203
58147,41.0797,77.7667,5646.08,12602,36.6097,76.7411,6092.83,504903,0.0201
60965,41.0175,77.4756,5629.57,5589,36.5378,76.5786,6277.34,504143,0.0207
158583,41.0803,77.8947,5235.45,2824,36.6892,77.7342,6436.98,488465,0.0216
231134,41.2008,78.27,5016.14,120303,36.9447,77.7306,5368.39,475538,0.0203
426271,40.3203,75.6889,4442.07,3942,36.5056,77.7195,6358.47,459554,0.0361
458022,41.5703,73.6225,4331.04,416912,39.5,68.7594,4474.13,470950,0.0461
559244,40.6731,78.1447,3961.8,5410,36.4783,76.8606,6284.57,479594,0.0209
582290,41.0169,74.1233,3874.56,326724,39.6442,69.7111,4747.88,403892,0.1057
589806,40.8131,78.6947,3845.62,383,38.2317,75.1117,7016.77,420450,0.0899
730577,43.0422,75.8256,3277.73,491031,44.5656,80.5803,4211.56,417392,0.0702
941819,40.0297,78.4433,2700.79,5189,36.2358,79.0036,6294.09,424696,0.0287
279435,43.8364,84.6028,4881.46,349,42.2111,80.1761,7053.61,402608,0.1612
547597,44.0842,82.7744,4004.59,249936,43.1186,77.34,4963.76,450475,0.0806
593168,47.0489,85.5664,3832.71,480105,43.6758,88.8778,4251.43,455546,0.0266
635063,47.8275,89.7611,3666.77,138854,43.8022,88.3355,5302.96,461004,0.0202
920947,41.4725,88.2547,2740.4,34886,37.795,86.8108,5819.68,427185,0.0301
943846,41.4172,88.045,2697.4,120683,37.8264,86.5122,5367.09,420287,0.0304
1007148,46.6944,85.2786,2590.68,448349,43.1192,87.3344,4365.67,429206,0.0227
1447310,41.3319,89.3775,2132.46,5962,37.9136,87.3892,6262.6,416469,0.0376
279492,43.0742,94.3472,4881.32,268365,39.1686,93.0961,4912.33,446732,0.0293
463354,43.3817,93.3558,4312.23,34193,39.2514,93.6964,5826.41,460146,0.0227
721208,45.1936,90.9055,3313.66,180985,43.5072,85.8539,5162.91,443175,0.0673
241358,61.7317,-143.4383,4987.8,135924,62.9606,-151.3994,5313.18,432654,0.1019
552798,61.4375,-147.7517,3985.53,24100,60.5678,-140.405,5930.7,407410,0.1426
797688,61.6411,-143.3411,3044.33,8578,63.0694,-151.0061,6179.93,425832,0.0902
