observer_summit_id,observer_latitude,observer_longitude,observer_elevation,target_summit_id,target_latitude,target_longitude,target_elevation,distance,contrast
777634,7.3261,-75.8497,3109.18,679850,10.0319,-72.9517,3482.52,438153,0.0301
788989,9.9331,-72.9942,3072.11,777523,7.3139,-75.7908,3109.57,423474,0.0336
788989,9.9331,-72.9942,3072.11,777634,7.3261,-75.8497,3109.18,427272,0.0324
884709,7.9847,-73.2981,2815.15,143555,4.8939,-75.3236,5286.36,410112,0.0455
884709,7.9847,-73.2981,2815.15,163423,4.6592,-75.3297,5219.34,432591,0.0326
1005567,7.2658,-75.6806,2593.15,50035,10.8389,-73.6861,5697.91,453659,0.0246
1005567,7.2658,-75.6806,2593.15,98850,10.8142,-73.6156,5450.55,455066,0.0233
1005567,7.2658,-75.6806,2593.15,197486,10.7878,-73.6364,5112.59,451387,0.0226
1005567,7.2658,-75.6806,2593.15,569469,10.6369,-73.6681,3923.23,435156,0.0218
1005567,7.2658,-75.6806,2593.15,597721,10.6639,-73.7686,3814.58,432273,0.0215
1313355,1.9175,-75.2672,2242.21,49237,-0.485,-78.1422,5703.49,416574,0.0582
1872604,7.6022,-75.7653,1863.69,50035,10.8389,-73.6861,5697.91,426140,0.0322
1872604,7.6022,-75.7653,1863.69,98850,10.8142,-73.6156,5450.55,428042,0.0305
1872604,7.6022,-75.7653,1863.69,197486,10.7878,-73.6364,5112.59,424340,0.0297
1872604,7.6022,-75.7653,1863.69,569469,10.6369,-73.6681,3923.23,408496,0.0289
1872604,7.6022,-75.7653,1863.69,597721,10.6639,-73.7686,3814.58,404898,0.0287
1925515,7.4864,-75.8622,1834.95,50035,10.8389,-73.6861,5697.91,442733,0.0257
1925515,7.4864,-75.8622,1834.95,98850,10.8142,-73.6156,5450.55,444672,0.0241
1925515,7.4864,-75.8622,1834.95,197486,10.7878,-73.6364,5112.59,440969,0.0235
1764906,9.8706,-67.5153,1924.41,280903,8.5494,-70.9964,4877.42,409350,0.0764
702542,9.255,41.7306,3387.88,553174,12.0736,39.3783,3984.17,405321,0.0467
620475,16.2147,-96.1819,3724.69,490867,15.0433,-91.9036,4212.15,476275,0.0462
620475,16.2147,-96.1819,3724.69,525366,15.1325,-92.1083,4085.37,452403,0.0602
711235,15.26,-92.1392,3352.8,620475,16.2147,-96.1819,3724.69,445497,0.057
774496,16.0758,-96.2514,3119.32,525366,15.1325,-92.1083,4085.37,455928,0.0536
833178,15.44,-92.4339,2941.33,774496,16.0758,-96.2514,3119.32,414597,0.07
879645,16.5819,-95.8039,2826.46,525366,15.1325,-92.1083,4085.37,426869,0.0614
968236,16.0606,-96.1328,2653.78,525366,15.1325,-92.1083,4085.37,443196,0.0572
968236,16.0606,-96.1328,2653.78,833178,15.44,-92.4339,2941.33,401818,0.0749
1074735,16.1375,-95.97,2495.27,525366,15.1325,-92.1083,4085.37,428334,0.0645
1144923,16.7042,-95.8481,2410.46,525366,15.1325,-92.1083,4085.37,436401,0.0491
1268243,16.765,-94.4517,2283.54,498108,19.4942,-97.1475,4185.31,416208,0.0365
1399977,16.7128,-95.4992,2169.02,525366,15.1325,-92.1083,4085.37,402904,0.0669
1623851,16.1314,-95.885,2010.48,525366,15.1325,-92.1083,4085.37,419381,0.0655
1708522,16.7717,-94.1919,1957.83,67824,19.0303,-97.2703,5591.6,411283,0.0596
1708522,16.7717,-94.1919,1957.83,383919,18.9856,-97.3142,4580.73,412016,0.0492
1773700,16.8369,-94.2244,1919.38,67824,19.0303,-97.2703,5591.6,404103,0.065
1500792,10.3225,-70.6308,2093.04,463874,7.3775,-72.8447,4310.37,407908,0.0353
1815268,10.3956,-70.755,1895.77,463874,7.3775,-72.8447,4310.37,406591,0.0328
3083467,23.9639,86.1286,1380.91,0,27.9892,86.9256,8737.79,454622,0.0243
3083467,23.9639,86.1286,1380.91,2,27.7028,88.1475,8564.29,462219,0.0281
3083467,23.9639,86.1286,1380.91,6,27.9617,86.9325,8415.98,451736,0.0237
3083467,23.9639,86.1286,1380.91,7,27.8914,87.0886,8242.92,447138,0.0252
3083467,23.9639,86.1286,1380.91,157,27.6361,88.1183,7354.6,454297,0.0243
3083467,23.9639,86.1286,1380.91,195,27.7769,86.9811,7280.48,432474,0.0248
3083467,23.9639,86.1286,1380.91,611,27.7547,86.5733,6848.81,423858,0.0235
3083467,23.9639,86.1286,1380.91,1012,27.7556,86.8225,6687.89,427292,0.0228
669,29.1669,96.7231,6817.01,370,27.8725,92.5297,7029.02,434213,0.1694
669,29.1669,96.7231,6817.01,512,27.9372,92.6664,6913.09,419123,0.1852
669,29.1669,96.7231,6817.01,602,28.0619,92.6636,6853.93,414846,0.1922
669,29.1669,96.7231,6817.01,612,27.91,92.6264,6848.49,423853,0.1775
791,29.2022,96.6953,6763.08,512,27.9372,92.6664,6913.09,417800,0.1848
791,29.2022,96.6953,6763.08,602,28.0619,92.6636,6853.93,413378,0.192
791,29.2022,96.6953,6763.08,612,27.91,92.6264,6848.49,422546,0.1771
138256,28.7192,96.6672,5305.1,370,27.8725,92.5297,7029.02,415866,0.1771
138256,28.7192,96.6672,5305.1,512,27.9372,92.6664,6913.09,401107,0.1934
138256,28.7192,96.6672,5305.1,612,27.91,92.6264,6848.49,405639,0.1857
138256,28.7192,96.6672,5305.1,5982,27.8772,92.6233,6261.86,406818,0.1693
172090,28.2647,96.8825,5191.24,370,27.8725,92.5297,7029.02,429278,0.1667
172090,28.2647,96.8825,5191.24,512,27.9372,92.6664,6913.09,415123,0.1814
172090,28.2647,96.8825,5191.24,612,27.91,92.6264,6848.49,419357,0.1745
172090,28.2647,96.8825,5191.24,5982,27.8772,92.6233,6261.86,420082,0.1594
200673,28.0117,97.2531,5103.26,370,27.8725,92.5297,7029.02,464217,0.1277
200673,28.0117,97.2531,5103.26,512,27.9372,92.6664,6913.09,450475,0.14
200673,28.0117,97.2531,5103.26,602,28.0619,92.6636,6853.93,450447,0.1385
200673,28.0117,97.2531,5103.26,612,27.91,92.6264,6848.49,454524,0.1342
200673,28.0117,97.2531,5103.26,1326,28.1767,92.7672,6619.64,440393,0.1439
200673,28.0117,97.2531,5103.26,5982,27.8772,92.6233,6261.86,455002,0.1214
200673,28.0117,97.2531,5103.26,7583,28.2006,92.8828,6208.8,429140,0.147
243419,28.4553,96.6078,4981.99,370,27.8725,92.5297,7029.02,404970,0.1902
243908,28.7044,96.5244,4980.7,370,27.8725,92.5297,7029.02,401907,0.1886
246243,28.6658,96.6025,4974.37,370,27.8725,92.5297,7029.02,408474,0.1815
335744,28.1925,96.9233,4722.01,370,27.8725,92.5297,7029.02,432671,0.1558
335744,28.1925,96.9233,4722.01,512,27.9372,92.6664,6913.09,418629,0.17
335744,28.1925,96.9233,4722.01,612,27.91,92.6264,6848.49,422811,0.1634
364378,28.1008,93.0433,4639.96,200673,28.0117,97.2531,5103.26,413197,0.1342
397193,28.1314,96.7942,4538.74,370,27.8725,92.5297,7029.02,419644,0.1686
397193,28.1314,96.7942,4538.74,512,27.9372,92.6664,6913.09,405690,0.1832
397193,28.1314,96.7942,4538.74,602,28.0619,92.6636,6853.93,405229,0.1827
397193,28.1314,96.7942,4538.74,612,27.91,92.6264,6848.49,409832,0.1764
397193,28.1314,96.7942,4538.74,5982,27.8772,92.6233,6261.86,410433,0.1615
404453,27.7014,96.9442,4514.76,370,27.8725,92.5297,7029.02,434659,0.1502
404453,27.7014,96.9442,4514.76,7583,28.2006,92.8828,6208.8,402749,0.1647
417735,27.6322,96.8592,4471.16,370,27.8725,92.5297,7029.02,426854,0.158
417735,27.6322,96.8592,4471.16,512,27.9372,92.6664,6913.09,413836,0.1701
417735,27.6322,96.8592,4471.16,612,27.91,92.6264,6848.49,417575,0.1644
417735,27.6322,96.8592,4471.16,2260,27.8469,92.3947,6490.56,439999,0.1316
417735,27.6322,96.8592,4471.16,5982,27.8772,92.6233,6261.86,417688,0.1511
418536,27.6617,96.7003,4468.48,370,27.8725,92.5297,7029.02,410996,0.1773
418536,27.6617,96.7003,4468.48,612,27.91,92.6264,6848.49,401695,0.1842
418536,27.6617,96.7003,4468.48,2260,27.8469,92.3947,6490.56,424158,0.1493
418536,27.6617,96.7003,4468.48,5982,27.8772,92.6233,6261.86,401826,0.1701
418536,27.6617,96.7003,4468.48,382743,27.7708,92.5189,4584.4,411761,0.122
439803,28.0811,93.1164,4395.15,200673,28.0117,97.2531,5103.26,406016,0.1386
523085,27.7061,96.7164,4093.62,370,27.8725,92.5297,7029.02,412243,0.1699
523085,27.7061,96.7164,4093.62,602,28.0619,92.6636,6853.93,400269,0.1784
523085,27.7061,96.7164,4093.62,612,27.91,92.6264,6848.49,402885,0.1768
523085,27.7061,96.7164,4093.62,2260,27.8469,92.3947,6490.56,425444,0.1422
523085,27.7061,96.7164,4093.62,5982,27.8772,92.6233,6261.86,403062,0.1629
523085,27.7061,96.7164,4093.62,382743,27.7708,92.5189,4584.4,413145,0.1157
566035,27.8444,96.6964,3936.49,370,27.8725,92.5297,7029.02,409611,0.1712
566035,27.8444,96.6964,3936.49,612,27.91,92.6264,6848.49,400092,0.1786
566035,27.8444,96.6964,3936.49,5982,27.8772,92.6233,6261.86,400407,0.1643
569570,27.4233,96.9314,3922.82,370,27.8725,92.5297,7029.02,436402,0.1359
569570,27.4233,96.9314,3922.82,512,27.9372,92.6664,6913.09,423816,0.1464
569570,27.4233,96.9314,3922.82,602,28.0619,92.6636,6853.93,425941,0.1405
569570,27.4233,96.9314,3922.82,612,27.91,92.6264,6848.49,427378,0.1414
569570,27.4233,96.9314,3922.82,1326,28.1767,92.7672,6619.64,418049,0.1417
569570,27.4233,96.9314,3922.82,2260,27.8469,92.3947,6490.56,449357,0.1118
569570,27.4233,96.9314,3922.82,5982,27.8772,92.6233,6261.86,427298,0.1295
569570,27.4233,96.9314,3922.82,7450,28.1397,92.5719,6212.77,436185,0.1152
569570,27.4233,96.9314,3922.82,7583,28.2006,92.8828,6208.8,407429,0.144
569570,27.4233,96.9314,3922.82,30672,28.3686,92.8339,5860.02,416143,0.1234
569570,27.4233,96.9314,3922.82,42787,28.2628,92.9583,5752.09,401618,0.139
592912,25.74,95.037,3833.69,156,29.6392,95.0653,7354.89,433580,0.0368
592912,25.74,95.037,3833.69,281,29.8186,94.9608,7144.14,453581,0.0281
592912,25.74,95.037,3833.69,415,29.6622,95.1344,6984.65,436233,0.0337
592912,25.74,95.037,3833.69,827,29.8325,94.8672,6750.61,455371,0.0258
592912,25.74,95.037,3833.69,4889,29.585,95.1047,6307.04,427596,0.0327
592912,25.74,95.037,3833.69,5228,29.6178,96.0558,6292.68,442700,0.0323
592912,25.74,95.037,3833.69,12539,29.5539,96.0147,6093.91,434875,0.034
592912,25.74,95.037,3833.69,37113,29.4678,96.0489,5799.69,426328,0.036
592912,25.74,95.037,3833.69,40193,29.3986,94.8992,5772.87,407044,0.0382
592912,25.74,95.037,3833.69,48446,29.5508,95.0078,5709.17,423751,0.0303
592912,25.74,95.037,3833.69,53054,29.3653,94.9092,5677.82,403311,0.0391
592912,25.74,95.037,3833.69,56230,29.4767,96.0842,5658.07,428114,0.0344
592912,25.74,95.037,3833.69,100348,29.3775,94.8172,5444.54,405050,0.0373
592912,25.74,95.037,3833.69,128771,29.3622,96.0855,5338.18,415814,0.0378
592912,25.74,95.037,3833.69,134657,29.4417,94.9542,5317.59,411690,0.0328
622850,28.0375,96.7155,3715.47,370,27.8725,92.5297,7029.02,411519,0.1651
622850,28.0375,96.7155,3715.47,612,27.91,92.6264,6848.49,401793,0.1729
622850,28.0375,96.7155,3715.47,5982,27.8772,92.6233,6261.86,402304,0.1584
657694,27.7961,96.5911,3574.14,136070,27.8167,92.5228,5312.68,400126,0.1375
682973,26.0128,95.1447,3469.53,156,29.6392,95.0653,7354.89,403312,0.0485
682973,26.0128,95.1447,3469.53,281,29.8186,94.9608,7144.14,423570,0.0379
682973,26.0128,95.1447,3469.53,415,29.6622,95.1344,6984.65,405795,0.0438
682973,26.0128,95.1447,3469.53,5228,29.6178,96.0558,6292.68,410744,0.0435
682973,26.0128,95.1447,3469.53,12539,29.5539,96.0147,6093.91,402941,0.0456
682973,26.0128,95.1447,3469.53,21559,29.6269,95.895,5960.96,408583,0.0406
691882,25.9456,95.0769,3432.29,156,29.6392,95.0653,7354.89,410710,0.0438
691882,25.9456,95.0769,3432.29,281,29.8186,94.9608,7144.14,430808,0.0341
691882,25.9456,95.0769,3432.29,415,29.6622,95.1344,6984.65,413305,0.0402
691882,25.9456,95.0769,3432.29,4889,29.585,95.1047,6307.04,404691,0.0391
691882,25.9456,95.0769,3432.29,5228,29.6178,96.0558,6292.68,419525,0.0393
691882,25.9456,95.0769,3432.29,12539,29.5539,96.0147,6093.91,411694,0.0414
