latitude,longitude,elevation,isolation,summit_name,wikipedia
36.2808,59.0492,3314.09,378148.0,Shirbad,fa:شیرباد
25.9558,-107.0475,3303.12,371622.0,Cerro Mohinora,en:Cerro Mohinora
-75.0142,123.5675,3265.93,249948.0,,
72.5275,-37.4533,3237.89,485061.0,,
-71.3583,-63.4483,3183.94,979682.0,,
-4.0158,103.1283,3172.97,328477.0,Mount Dempo,
-71.8758,6.6617,3143.71,168673.0,,
-88.1517,-171.0383,3142.79,189341.0,,
22.3033,103.775,3141.88,328294.0,Fansipan,vi:Phan Xi Păng
31.4483,110.3042,3105.0,363349.0,Shennong Mountaın,
19.0233,-70.9975,3097.99,921365.0,Pico Duarte,es:Pico Duarte
30.9925,-115.375,3094.94,334321.0,Picacho del Diablo,es:Cerro de La Encantada (México)
28.2525,-107.595,3080.92,240701.0,Gasachi,
56.8642,117.575,3072.08,1150914.0,Pik BAM,ru:Пик БАМ
-21.0992,55.48,3070.86,2766299.0,Piton des Neiges,fr:Piton des Neiges
36.5933,30.15,3069.95,367269.0,,
21.2342,93.9017,3060.8,479906.0,Nat Ma Taung,en:Nat Ma Taung
39.08,113.5675,3058.97,651563.0,Wutai Shan North Terrace,en:Mount Wutai
12.9342,24.23,3041.9,969255.0,Deriba Caldera,en:Deriba (caldera)
22.2733,-102.6075,3034.89,182621.0,,
0.5775,120.205,3030.02,371961.0,Fuyul Sojol,
-3.1733,129.455,3026.97,682420.0,Mount Binaiya,
57.3467,-124.0925,3023.92,435722.0,Mount Ulysses,en:Mount Ulysses
-82.4667,-103.9,3022.09,437963.0,,
23.2383,57.2633,3018.13,522454.0,Jabal ash Sham,
65.1858,146.04,3002.89,1233613.0,,
-15.9492,35.5925,3001.98,1271583.0,Sapitwa,fr:Sapitwa
0.805,-66.0067,2994.05,899104.0,Pico da Neblina,pt:Pico da Neblina
-9.0783,34.0208,2980.03,533159.0,,
-8.9075,125.4942,2962.96,770539.0,Mount Ramelau,pt:Monte Ramelau
62.58,140.8975,2959.0,382981.0,,
6.9875,125.2708,2954.12,904826.0,Mount Apo,
63.4317,-130.3242,2951.99,527741.0,Keele Peak,en:Keele Peak
-54.45,-36.5242,2931.87,2205730.0,Mount Paget,en:Mount Paget
42.18,23.585,2924.86,810089.0,Musala,bg:Мусала
16.5975,120.8992,2922.12,666675.0,Mount Pulag,en:Mount Pulag
0.0792,99.9842,2919.07,240582.0,Mount Talakmau,
40.0858,22.3583,2916.94,254351.0,Μύτικας,el:Μύτικας (βουνοκορφή)
42.4692,13.5658,2912.06,445348.0,Corno Grande - Vetta Occidentale,it:Corno Grande
-74.1633,-3.6608,2909.93,172321.0,,
23.2892,5.5333,2908.1,1162391.0,Tahat,ar:تاهات
-20.4358,-41.7975,2897.12,2342550.0,Pico da Bandeira,en:Pico da Bandeira
-41.9958,173.6625,2884.93,318765.0,Tapuae-o-Uenuku,en:Tapuae-o-Uenuku
-14.0225,48.9675,2876.09,1041608.0,Maromokotro,
63.1392,-44.8367,2875.79,560078.0,,
54.755,-163.9708,2869.39,877038.0,Shishaldin Volcano,en:Mount Shishaldin
54.6217,110.4558,2840.13,294049.0,пик Байкал,
18.9808,103.1517,2830.07,295393.0,Phou Bia,en:Phou Bia
14.95,-24.3425,2828.85,1672472.0,Pico de Fogo,
5.1408,-60.7633,2809.95,538635.0,,
-85.0442,-90.8458,2809.95,222526.0,,
-22.4283,-44.8425,2798.06,384421.0,Pedra da Mina,en:Pedra da Mina
48.4658,107.4125,2787.7,439875.0,Асралт хайрхан,en:Asralt Khairkhan
17.5625,38.0058,2780.08,304419.0,,
10.5433,-66.7825,2765.15,368873.0,Peak Naiguata,es:Pico Naiguatá
-64.6217,-63.4575,2760.88,574020.0,Mount Français,en:Mount Français
54.4183,-127.7442,2759.05,254097.0,Howson Peak,
-53.105,73.5133,2745.03,2026059.0,Mawson Peak (Big Ben),en:Mawson Peak
41.9933,128.0775,2744.11,1014626.0,Changgun Peak,
69.2775,-144.91,2743.81,629550.0,Mount Chamberlin,
-5.905,154.995,2714.85,752256.0,Mount Balbi,en:Mount Balbi
-3.3008,126.22,2699.92,358339.0,Mount Kapalatmada,
10.1708,77.0633,2695.04,2090264.0,Anamudi,de:Anamudi
-80.61,-96.7675,2674.92,237790.0,,
-22.195,46.885,2657.86,889850.0,Imarivolanitra,
49.1642,20.1342,2653.89,510072.0,Gerlachovský štít,sk:Gerlachovský štít
-7.0925,37.6183,2652.98,380269.0,Lukwangule peak,
43.1975,-4.8525,2648.1,346486.0,Torre Cerredo,es:Torre Cerredo
20.7792,40.7983,2646.88,211460.0,,
-19.3492,47.2433,2642.92,317275.0,Ambatondrangahy,
28.51,33.955,2628.9,572250.0,Mount Catherine,en:Mount Catherine
18.81,97.0375,2623.11,413323.0,Mount Nattaung,en:Nattaung
-12.4625,15.1742,2620.06,1728049.0,,
81.915,-75.0092,2616.1,751546.0,,
15.0692,107.975,2598.12,609259.0,Ngoc Linh,
-18.3,32.8417,2592.02,389462.0,Mount Nyangani,
40.2458,-5.2975,2591.1,326916.0,Pico Almanzor,es:Pico Almanzor
-54.6592,-69.5967,2580.13,468581.0,Monte Shipton,es:Monte Shipton
-21.1492,14.5775,2573.12,963148.0,Königstein,en:Königstein (Namibia)
27.8817,108.6817,2570.07,398210.0,Fenghuang Shan,
61.8933,171.1858,2562.15,734462.0,,
7.0,80.7742,2524.05,519272.0,Pidurutalagala,
67.4125,-154.9658,2522.52,453342.0,Mount Igikpak,
56.2192,-159.2975,2506.98,336713.0,,
-31.7592,24.54,2503.02,282118.0,Compassberg,
-22.65,17.1792,2478.94,316216.0,Moltkeblick,
-7.5042,29.9867,2477.72,276389.0,,
61.6367,8.3125,2468.88,1568364.0,Galdhøpiggen,en:Galdhøpiggen
10.735,47.245,2460.04,406941.0,Shimbiris,
35.2275,24.7708,2456.08,439917.0,Psiloritis,el:Ψηλορείτης
67.5817,128.14,2409.14,523996.0,,
55.8967,130.4533,2379.88,669226.0,,
53.6067,134.575,2370.12,367872.0,,
-11.7575,43.3658,2360.98,652791.0,Mount Karthala,ar:القرطالة
38.4683,-28.3992,2350.92,1451172.0,Mount Pico,pt:Montanha do Pico
23.9767,39.2825,2347.87,323313.0,,
-9.7033,160.0617,2335.07,694598.0,Mount Popomanaseu,
-5.0508,151.3317,2333.85,191335.0,Ulawun,en:Ulawun
40.9758,110.6192,2331.72,255139.0,红芪峰,
-25.2092,30.15,2331.11,350523.0,Die Berg,
35.3183,6.6367,2328.06,779091.0,Mount Chelia,fr:Djebel Chélia
-33.3983,21.3675,2325.01,348852.0,Seweweekspoortpiek,en:Seweweekspoortpiek
36.4475,4.2283,2307.95,223226.0,Lalla Khedidja,fr:Lalla Khedidja
-0.6592,112.6883,2300.02,576639.0,Bukit Raya,
-61.285,-54.1458,2300.02,474350.0,,
-66.7867,54.165,2300.02,181799.0,,
43.6633,142.8542,2290.88,803890.0,Mount Asahi-dake,ja:旭岳
71.08,-8.1792,2276.86,596479.0,Beerenberg,no:Beerenberg
1.82,115.2725,2250.03,231512.0,,
-17.6233,-149.4767,2240.89,4128151.0,Mont Orohena,fr:Mont Orohena
-36.4558,148.2633,2228.09,1894256.0,Mount Kosciuszko,en:Mount Kosciuszko
32.9117,-0.4675,2224.74,303032.0,Mount Issa,ar:جبل عيسى
-27.1808,18.7292,2201.88,490012.0,Schroffenstein,de:Schroffenstein
66.0383,-52.255,2191.82,251163.0,Mount Atter,
4.6325,102.235,2189.99,416965.0,Mount Tahan,ms:Gunung Tahan
27.8608,117.7842,2169.87,491764.0,黄岗山,zh:黄岗山
-82.6233,-52.8125,2150.06,422916.0,,
53.1258,-168.6942,2149.14,358106.0,Mount Vsevidof,en:Mount Vsevidof
66.5467,-65.4292,2143.05,592065.0,Mount Odin,en:Mount Odin
26.3133,114.0367,2140.0,365847.0,南风面,
-24.4708,27.5925,2134.82,264985.0,,
-19.615,17.62,2128.72,199485.0,,
11.3258,49.7483,2119.88,251084.0,,
64.0142,-16.6775,2110.13,714878.0,Hvannadalshnúkur,is:Hvannadalshnúkur
67.9008,18.5167,2105.86,756671.0,Kebnekaise nordtoppen,
13.4667,98.805,2072.03,299538.0,Myinmoletkat Taung,en:Myinmoletkat Taung
-17.2008,13.0208,2068.98,216935.0,,
-37.1117,-12.2892,2060.14,2662020.0,Queen Mary's Peak,en:Queen Mary's Peak
42.615,117.7958,2053.74,184007.0,大光顶子山,
-25.2708,15.755,2043.99,194281.0,,
35.765,-82.265,2037.28,1913486.0,Mount Mitchell,en:Mount Mitchell
-13.2967,-41.9075,2033.02,585235.0,,
0.2692,6.5417,2023.87,405943.0,Pico de São Tomé,en:Pico_de_São_Tomé
17.8383,8.72,2022.04,640851.0,Idoûkâl-n-Taghès,
15.3083,26.5492,2009.85,287314.0,,
47.1158,136.5683,2004.06,226318.0,Ko,ru:Ко (гора)
33.7675,133.1158,1982.11,420132.0,,
-24.6158,46.705,1964.74,251212.0,,
33.3617,126.5292,1950.11,613142.0,Hallasan,en:Hallasan
9.2283,-11.1142,1944.93,1571973.0,Loma Mansa,en:Mount_Bintumani
73.23,-78.6233,1944.01,576539.0,,
30.3358,130.5042,1936.09,453427.0,Mt. Miyanoura,
21.9158,25.0,1933.96,590870.0,,
44.2708,-71.3033,1916.58,1318980.0,Mount Washington,en:Mount Washington
-8.8608,27.0642,1909.88,287102.0,,
83.3742,-35.2717,1909.88,264760.0,,
70.7992,-71.65,1905.0,361932.0,,
65.035,60.1142,1894.94,1835420.0,Mount Narodnaya,ru:Народная (гора)
-2.7133,115.6258,1891.89,386871.0,Mount Halau-halau,id:Gunung Halau-halau
67.8175,178.2942,1887.93,723662.0,Исходная,
