latitude,longitude,elevation,prominence,summit_name,wikipedia
25.9561,-107.0478,3299.94,861.95,Cerro Mohinora,en:Cerro Mohinora
8.8753,34.8153,3276.06,1715.82,Tulu Welel,en:Mount_Welel
72.5531,-37.58,3230.71,535.98,,
-69.7981,-64.4544,3212.04,2168.67,Mount Hope,en:Mount Hope (Palmer Land)
-73.4622,61.8783,3211.2,1168.17,,
-4.0156,103.1281,3154.84,2431.66,Dempo,
-71.8764,6.67,3143.5,731.02,Jøkulkyrkja Mountain,
-71.3606,-63.4275,3125.06,1225.42,Mount Andrew Jackson,
22.3036,103.7755,3113.48,1572.7,Fan Si Pan,vi:Phan Xi Păng
31.4403,110.3072,3103.07,2276.22,Da Shennongjia,
19.0319,-71.0053,3093.98,3093.98,Loma La Pelona,
28.2528,-107.5944,3080.65,826.98,Pico 3081,
21.2336,93.903,3077.34,2156.79,Mount Victoria,en:Nat Ma Taung
36.6053,30.1206,3062.94,1966.66,Kizlar Sivrisi,
39.0806,113.567,3061.85,1786.69,Wutai Shan,en:Mount Wutai
30.9903,-115.3739,3051.87,2094.27,Picacho del Diablo - Pico Sur,es:Cerro de La Encantada (México)
22.2739,-102.6072,3049.35,830.97,Sierra Fría,
-21.0989,55.48,3045.5,3045.5,Piton des Neiges,fr:Piton des Neiges
-3.1733,129.4556,3031.82,3031.82,Gunung Binaiya,
12.9436,24.2344,3010.89,2476.85,Deriba - North Peak,en:Marrah Mountains
-72.15,23.2608,3010.24,715.56,,
17.9286,43.2655,2995.85,1204.12,Jabal Ferwa,ar:جبل فرواع
-82.4606,-103.8889,2994.88,876.59,,
-15.9494,35.5931,2992.36,2312.92,Sapitwa Peak,fr:Sapitwa
23.2375,57.2642,2988.9,2865.68,Jebel Shams,
56.8775,117.5047,2980.02,2133.84,Kuanda,
57.3464,-124.0928,2977.14,2254.73,Ulysses Mountain,en:Mount Ulysses
65.1772,146.0117,2976.51,2416.11,Gora Pobeda,ru:Победа (гора)
-9.0775,34.0225,2960.63,1670.27,Mtorwi,
63.4314,-130.3244,2953.42,2153.38,Keele Peak,en:Keele Peak
-8.9064,125.4933,2951.92,2951.92,Foho Ramelau,pt:Monte Ramelau
62.6044,140.9411,2948.64,1913.56,Mus-Khaya,ru:Мус-Хая
6.9875,125.2708,2946.19,2946.19,Mount Apo,
-54.4497,-36.5236,2925.46,2925.46,Mount Paget,en:Mount Paget
73.0908,-28.6183,2922.73,1167.56,Petermann Bjerg,en:Petermann Peak
16.5978,120.8989,2922.57,2922.57,Mount Pulag,en:Mount Pulag
42.1792,23.5853,2921.37,2470.54,Musala,bg:Мусала
0.0786,99.9839,2899.83,2325.16,Talakmau,
-72.5492,0.6542,2899.31,475.75,,
23.2886,5.5339,2882.21,2305.82,Tahat,ar:تاهات
42.4697,13.5644,2878.17,2436.47,Corno Grande,it:Corno Grande
63.1606,-44.7867,2877.23,394.65,South Greenland Icecap High Point,
-20.4342,-41.7964,2877.21,2627.55,Pico da Bandeira,en:Pico da Bandeira
-41.9958,173.6628,2876.73,2009.84,Tapuae-o-Uenuku,en:Tapuae-o-Uenuku
-14.0222,48.9669,2876.05,2876.05,Maromokotro,
54.7553,-163.9708,2850.86,2850.86,Shishaldin Volcano,en:Mount Shishaldin
18.9808,103.1517,2824.95,2082.88,Phou Bia,en:Phou Bia
3.6633,-65.4083,2821.4,2711.4,Cerro Marahuaca,en:Cerro Marahuaca
48.4656,107.4128,2800.79,1437.08,Gora Asralt-Khairkhan,en:Asralt Khairkhan
54.6225,110.4572,2793.97,1674.68,Pik Baikal,
-22.4281,-44.8428,2793.44,2066.41,Pico da Pedra da Mina,en:Pedra da Mina
-64.6242,-63.4383,2787.41,2787.41,Mount Français,
14.95,-24.3425,2781.54,2781.54,Pico do Fogo,
17.5622,38.0056,2762.02,1423.44,Jabal Hamoyet,
-53.1036,73.5175,2750.4,2750.4,Big Ben,en:Mawson Peak
10.5428,-66.7825,2749.86,2444.19,Pico Naiguatá,es:Pico Naiguatá
41.9933,128.0778,2737.78,2585.39,Paektu-san,
-85.0464,-90.9639,2733.42,457.61,,
69.2025,-143.8011,2720.8,2403.9,Mount Isto,en:Mount Isto
-5.905,154.9953,2713.9,2713.9,Mount Balbi,en:Mount Balbi
5.4439,-61.0228,2695.54,2228.27,Tramen-tepuí,
-3.3003,126.2197,2692.67,2692.67,Kapalatmada,
10.1697,77.0614,2680.17,2463.03,Anamudi,de:Anamudi
20.7794,40.798,2659.24,1004.38,,
-22.1947,46.8853,2648.58,1868.78,Pic Boby,
-7.0908,37.6208,2645.7,2117.33,Lukwangule Peak,
-19.3494,47.2433,2639.33,1660.49,Tsiafajavona,
-80.5494,-96.6653,2632.61,385.78,Mount Woollard,
28.5094,33.9556,2628.35,2423.31,Gebel Katherîna,en:Mount Catherine
-54.6631,-69.5925,2623.49,2623.49,Cerro Darwin,es:Monte Shipton
18.8097,97.0375,2621.08,1726.26,Nattaung,en:Nattaung
-12.4628,15.1736,2618.28,1510.95,Morro de Môco,
49.1639,20.1339,2603.93,2302.61,Gerlachovský štít,sk:Gerlachovský štít
15.0692,107.9753,2593.8,2206.09,Ngoc Linh,
43.1739,-4.8572,2586.76,1871.05,Torre de Llambrión,
81.915,-75.0097,2584.03,2584.03,Barbeau Peak,
-18.3006,32.8419,2581.99,1509.96,Mount Nyangani,
27.8817,108.6814,2566.56,1761.93,Fanjing Shan,
-21.1497,14.5775,2564.32,1761.73,Königstein,en:Königstein (Namibia)
40.2483,-5.2997,2536.89,1633.34,Pico Almanzor,es:Pico Almanzor
7.0008,80.7736,2523.12,2523.12,Pidurutalagala,
-81.9417,-89.8042,2483.52,592.07,,
-7.5039,29.9867,2481.97,1469.97,Marungu,
-22.6497,17.1831,2477.84,1337.88,Moltkeblick,
67.4128,-154.965,2473.85,1827.85,Mount Igikpak,
76.4694,-25.6433,2460.85,566.63,Gefiontinde,en:Gefiontinde
61.6361,8.3128,2459.01,2359.44,Galdhøpiggen,en:Galdhøpiggen
35.2264,24.7708,2452.65,2452.65,Ida Óros,el:Ψηλορείτης
-31.7586,24.5397,2452.0,961.73,Kompasberg,
10.7364,47.2442,2445.49,1470.67,Shimbiris,
61.8886,171.17,2429.29,2311.61,Ledyanaya,ru:Ледяная (гора)
23.9767,39.2825,2378.66,1457.04,Jebel Varjan,
67.5822,128.1439,2370.86,1661.67,Khrebet Orulgan High Point,
55.8975,130.4539,2370.77,1678.74,Stanovoy Khrebet High Point,
53.6075,134.5764,2356.52,1898.97,Yam-Alin Range High Point,
-11.7589,43.3669,2356.42,2356.42,Karthala,ar:القرطالة
-5.0508,151.3311,2351.54,2351.54,Mount Ulawun,en:Ulawun
-23.3514,16.2153,2348.05,576.45,Gamsberg,
40.9761,110.6189,2345.63,924.61,红芪峰,
38.4689,-28.3992,2334.84,2334.84,Montanha do Pico,pt:Montanha do Pico
-74.1519,-66.4733,2328.22,689.87,,
-25.2094,30.1497,2328.02,679.79,Die Berg,
-9.7036,160.0622,2326.27,2326.27,Mount Popomanaseu,
35.3183,6.6369,2322.6,1602.37,Djebel Chélia,fr:Djebel Chélia
-33.3981,21.3681,2313.19,1533.2,Seweweekspoortpiek,en:Seweweekspoortpiek
-0.6597,112.6886,2310.88,2031.54,Bukit Raya,
71.4011,-51.8358,2299.6,2127.37,Perserajooq,
36.4478,4.2281,2299.22,1707.12,Lalla Khedidja,fr:Lalla Khedidja
