latitude,longitude,elevation,summit_name,wikipedia
19.0233,-70.9975,3097.99,Pico Duarte,es:Pico Duarte
30.9925,-115.375,3094.94,Picacho del Diablo,es:Cerro de La Encantada (México)
28.2525,-107.595,3080.92,Pico 3081,
21.2336,93.903,3077.34,Mount Victoria,en:Nat Ma Taung
56.8642,117.575,3072.08,Kuanda,ru:Пик БАМ
-21.0992,55.48,3070.86,Piton des Neiges,fr:Piton des Neiges
36.5933,30.15,3069.95,Kizlar Sivrisi,
39.0806,113.567,3061.85,Wutai Shan,en:Mount Wutai
22.2739,-102.6072,3049.35,Sierra Fría,
12.9342,24.23,3041.9,Deriba - North Peak,en:Deriba (caldera)
-3.1733,129.4556,3031.82,Gunung Binaiya,
0.5775,120.205,3030.02,Fuyul Sojol,
57.3467,-124.0925,3023.92,Ulysses Mountain,en:Mount Ulysses
-82.4667,-103.9,3022.09,,
23.2383,57.2633,3018.13,Jebel Shams,
65.1858,146.04,3002.89,Gora Pobeda,
-15.9492,35.5925,3001.98,Sapitwa Peak,fr:Sapitwa
17.9286,43.2655,2995.85,Jabal Ferwa,ar:جبل فرواع
0.805,-66.0067,2994.05,Pico da Neblina,pt:Pico da Neblina
-9.0783,34.0208,2980.03,Mtorwi,
-8.9075,125.4942,2962.96,Foho Ramelau,pt:Monte Ramelau
62.58,140.8975,2959.0,Mus-Khaya,
6.9875,125.2708,2954.12,Mount Apo,
63.4314,-130.3244,2953.42,Keele Peak,en:Keele Peak
-54.45,-36.5242,2931.87,Mount Paget,en:Mount Paget
42.18,23.585,2924.86,Musala,bg:Мусала
73.0908,-28.6183,2922.73,Petermann Bjerg,en:Petermann Peak
16.5978,120.8989,2922.57,Mount Pulag,en:Mount Pulag
0.0792,99.9842,2919.07,Talakmau,
40.0858,22.3583,2916.94,Μύτικας,el:Μύτικας (βουνοκορφή)
42.4692,13.5658,2912.06,Corno Grande,it:Corno Grande
-74.1633,-3.6608,2909.93,,
23.2892,5.5333,2908.1,Tahat,ar:تاهات
-72.5492,0.6542,2899.31,,
-20.4358,-41.7975,2897.12,Pico da Bandeira,en:Pico da Bandeira
-41.9958,173.6625,2884.93,Tapuae-o-Uenuku,en:Tapuae-o-Uenuku
63.1606,-44.7867,2877.23,South Greenland Icecap High Point,
-14.0225,48.9675,2876.09,Maromokotro,
54.755,-163.9708,2869.39,Shishaldin Volcano,en:Mount Shishaldin
54.6217,110.4558,2840.13,Pik Baikal,
18.9808,103.1517,2830.07,Phou Bia,en:Phou Bia
14.95,-24.3425,2828.85,Pico do Fogo,
5.1408,-60.7633,2809.95,,
-85.0442,-90.8458,2809.95,,
48.4656,107.4128,2800.79,Gora Asralt-Khairkhan,en:Asralt Khairkhan
-22.4283,-44.8425,2798.06,Pico da Pedra da Mina,en:Pedra da Mina
-64.6242,-63.4383,2787.41,Mount Français,
17.5625,38.0058,2780.08,Jabal Hamoyet,
10.5433,-66.7825,2765.15,Pico Naiguatá,es:Pico Naiguatá
54.4183,-127.7442,2759.05,Howson Peak,
-53.1036,73.5175,2750.4,Big Ben,en:Mawson Peak
41.9933,128.0775,2744.11,Paektu-san,
69.2775,-144.91,2743.81,Mount Chamberlin,
-5.905,154.995,2714.85,Mount Balbi,en:Mount Balbi
-3.3008,126.22,2699.92,Kapalatmada,
10.1708,77.0633,2695.04,Anamudi,de:Anamudi
-80.61,-96.7675,2674.92,Mount Woollard,
20.7794,40.798,2659.24,,
-22.195,46.885,2657.86,Pic Boby,
49.1642,20.1342,2653.89,Gerlachovský štít,sk:Gerlachovský štít
-7.0925,37.6183,2652.98,Lukwangule Peak,
43.1975,-4.8525,2648.1,Torre Cerredo,es:Torre Cerredo
-19.3492,47.2433,2642.92,Tsiafajavona,
28.51,33.955,2628.9,Gebel Katherîna,en:Mount Catherine
-54.6631,-69.5925,2623.49,Cerro Darwin,es:Monte Shipton
18.81,97.0375,2623.11,Nattaung,en:Nattaung
-12.4625,15.1742,2620.06,Morro de Môco,
81.915,-75.0092,2616.1,Barbeau Peak,
15.0692,107.975,2598.12,Ngoc Linh,
-18.3,32.8417,2592.02,Mount Nyangani,
40.2458,-5.2975,2591.1,Pico Almanzor,es:Pico Almanzor
-21.1492,14.5775,2573.12,Königstein,en:Königstein (Namibia)
27.8817,108.6817,2570.07,Fanjing Shan,
61.8933,171.1858,2562.15,Ledyanaya,
7.0,80.7742,2524.05,Pidurutalagala,
67.4125,-154.9658,2522.52,Mount Igikpak,
56.2192,-159.2975,2506.98,,
-31.7592,24.54,2503.02,Kompasberg,
-81.9417,-89.8042,2483.52,,
-7.5039,29.9867,2481.97,Marungu,
-22.65,17.1792,2478.94,Moltkeblick,
61.6367,8.3125,2468.88,Galdhøpiggen,en:Galdhøpiggen
76.4694,-25.6433,2460.85,Gefiontinde,en:Gefiontinde
10.735,47.245,2460.04,Shimbiris,
35.2275,24.7708,2456.08,Ida Óros,el:Ψηλορείτης
67.5817,128.14,2409.14,Khrebet Orulgan High Point,
55.8967,130.4533,2379.88,Stanovoy Khrebet High Point,
23.9767,39.2825,2378.66,Jebel Varjan,
53.6067,134.575,2370.12,Yam-Alin Range High Point,
-11.7575,43.3658,2360.98,Karthala,ar:القرطالة
-5.0508,151.3311,2351.54,Mount Ulawun,en:Ulawun
38.4683,-28.3992,2350.92,Montanha do Pico,pt:Montanha do Pico
-23.3514,16.2153,2348.05,Gamsberg,
40.9761,110.6189,2345.63,红芪峰,
-9.7033,160.0617,2335.07,Mount Popomanaseu,
-25.2092,30.15,2331.11,Die Berg,
-74.1519,-66.4733,2328.22,,
35.3183,6.6367,2328.06,Djebel Chélia,fr:Djebel Chélia
-33.3983,21.3675,2325.01,Seweweekspoortpiek,en:Seweweekspoortpiek
-0.6597,112.6886,2310.88,Bukit Raya,
36.4475,4.2283,2307.95,Lalla Khedidja,fr:Lalla Khedidja
-61.285,-54.1458,2300.02,,
-66.7867,54.165,2300.02,,
71.4011,-51.8358,2299.6,Perserajooq,
43.6633,142.8542,2290.88,Asahi-dake,ja:旭岳
71.08,-8.1792,2276.86,Beerenberg,no:Beerenberg
1.82,115.2725,2250.03,Batu Jumak,
-17.6233,-149.4767,2240.89,Mont Orohena,fr:Mont Orohena
