summitId,latitude,longitude,elevation,candidate
633529,-8.1078,112.9219,3672.99,True
-302353,15.28,43.9783,3666.13,True
635624,15.28,43.9778,3664.37,True
637135,-43.5953,170.1419,3658.09,True
-328269,51.7192,100.5967,3490.87,True
-329123,-29.4683,29.2692,3482.04,True
679990,51.7189,100.5972,3481.97,True
680188,33.9059,-109.5627,3481.12,True
-329542,37.0533,-3.3117,3478.99,True
-329585,-3.385,120.0242,3478.07,True
-330027,33.9058,-109.5625,3475.63,True
-333000,3.7975,97.2192,3465.88,True
685235,3.7975,97.2189,3459.96,True
688340,19.7939,18.5522,3446.97,True
-335459,19.7925,18.5467,3444.85,True
-338048,-7.2392,109.22,3428.09,True
-338415,-72.1267,26.0783,3425.04,True
693723,-7.2386,109.22,3424.58,True
-341008,42.6308,0.6567,3404.01,True
700909,66.9356,-36.7856,3394.74,True
-342345,66.935,-36.7875,3390.9,True
708226,42.6311,0.6564,3364.9,True
-346171,-73.4558,61.4642,3354.93,True
-346417,23.2058,-104.9442,3351.89,True
715917,23.2061,-104.9442,3334.75,True
718724,37.755,14.9953,3323.78,True
-349999,37.75,14.995,3322.93,True
-350962,36.2808,59.0492,3314.09,True
721128,36.2808,59.0494,3314.01,True
-352127,25.9558,-107.0475,3303.12,True
724702,25.9561,-107.0478,3299.94,True
730969,8.8753,34.8153,3276.06,True
-356395,-75.13,123.2042,3265.93,True
-356436,-75.0142,123.5675,3265.93,True
-359919,72.5275,-37.4533,3237.89,True
743146,72.5531,-37.58,3230.71,True
748129,-69.7981,-64.4544,3212.04,True
748375,-73.4622,61.8783,3211.2,True
-367080,-71.3583,-63.4483,3183.94,True
-368632,-4.0158,103.1283,3172.97,True
-368708,-88.1517,-171.0383,3172.0,True
764130,-4.0156,103.1281,3154.84,True
-373085,-71.8758,6.6617,3143.71,True
767369,-71.8764,6.67,3143.5,True
-373339,22.3033,103.775,3141.88,True
772869,-71.3606,-63.4275,3125.06,True
776288,22.3036,103.7755,3113.48,True
-379203,31.4483,110.3042,3105.0,True
779365,31.4403,110.3072,3103.07,True
