Latitude,Longitude,Elevation,Key col latitude,Key col longitude,Prominence
-20.3292,-68.8358,12381,-20.4217,-68.905,647
-20.9692,-68.5642,13517,-20.9067,-68.5842,308
-20.9925,-68.6417,13658,-20.9908,-68.6325,623
-20.5183,-69.9608,2742,-20.5425,-69.9817,341
-20.6617,-69.9408,2322,-20.6667,-69.9808,328
-20.405,-70.0308,2716,-20.4708,-69.9792,374
-20.885,-70.0292,1981,-20.7633,-70.04,414
-20.6125,120.303,324,-20.6175,120.303,355
-20.5258,129.926,744,-20.5192,129.923,519
-20.2925,146.272,554,-20.2867,146.277,692
-20.3658,146.202,629,-20.3658,146.198,424
-21.7858,-65.0792,11899,-21.8625,-65.1458,351
-21.6342,-67.7525,14484,-21.58,-67.8783,355
-21.0433,-68.4875,13480,-21.0217,-68.5192,374
-21.4283,-68.2467,12148,-21.435,-68.4158,332
-21.5617,-68.0542,13487,-21.4292,-67.9808,450
-21.1,-69.7525,2837,-21.08,-69.8033,407
-21.9825,15.7642,3405,-21.9758,15.7667,338
-21.3042,25.3692,2739,-21.2958,25.3683,384
-21.7125,122.18,711,-21.7042,122.169,325
-21.725,122.186,695,-21.7167,122.194,338
-22.2083,-66.9383,14366,-22.1617,-66.8858,437
-22.705,-66.7892,14534,-22.5325,-66.7042,459
-22.035,-67.0867,14970,-21.9575,-67.11,348
-22.2183,-67.8158,14058,-22.1383,-67.6775,951
-22.4558,-67.0042,14858,-22.295,-67.0933,604
-22.5492,-67.5992,14356,-22.4442,-67.37,673
-22.7992,-67.7842,14163,-22.8808,-67.8,541
-22.85,-67.8325,17818,-22.845,-67.8342,390
-22.9142,-67.4725,14770,-22.8833,-67.4483,433
-22.2283,-68.8833,8966,-22.2158,-68.8808,748
-22.29,-68.9017,7296,-22.3025,-68.9083,1795
-22.3342,-68.9,7795,-22.3392,-68.8967,597
-22.6817,-70.1708,2132,-22.6592,-70.2283,548
-22.485,15.0483,833,-22.4825,15.0742,686
-22.7692,117.774,2208,-22.7775,117.777,311
-23.5767,-47.4125,1748,-23.5783,-47.4175,358
-23.5867,-47.4208,1597,-23.5833,-47.425,515
-23.2208,-65.8983,11092,-22.2625,-65.675,656
-23.4858,-66.74,12680,-24.1325,-66.8842,486
-23.1992,-67.28,13690,-23.295,-67.1683,535
-23.215,-67.5183,14767,-23.0217,-67.6125,692
-23.3625,-67.7317,16994,-23.36,-67.7342,496
-23.4567,-67.3992,14363,-23.4433,-67.3858,302
-23.505,-67.6967,14189,-23.5017,-67.7217,423
-23.5325,-67.535,13707,-23.4617,-67.4442,515
-23.7225,-67.6033,16696,-23.7225,-67.6258,410
-23.7992,-67.5858,17020,-23.805,-67.58,355
-23.8533,-67.82,12982,-23.8775,-67.8317,462
-23.8817,-67.5083,13969,-23.8817,-67.5217,322
-23.9308,-67.49,13717,-23.9375,-67.5192,429
-23.97,-67.7858,12798,-23.9817,-67.595,600
-23.9908,-67.7058,12831,-23.9925,-67.755,377
-23.5458,-68.3892,7388,-23.5333,-68.6942,2021
-23.5542,-69.5433,5649,-23.55,-69.5442,328
-23.7342,-69.0083,7221,-23.5342,-69.0275,918
-23.43,-70.0667,2204,-23.435,-70.0658,807
-23.67,27.5442,2565,-23.6758,27.5533,381
-23.9917,31.1283,-826,0,0,826
-23.3683,119.653,1617,-23.3517,119.698,354
-24.3425,-48.5275,1791,-24.3392,-48.5225,420
-24.5758,-48.6808,708,-24.5758,-48.6767,430
-24.5908,-48.7025,803,-24.5867,-48.6883,594
-24.6025,-48.7167,1161,-24.6,-48.7133,394
-24.6325,-48.3492,1387,-24.6258,-48.3525,319
-24.7033,-48.1317,-141,-24.7058,-48.1333,390
-24.1792,-66.9675,12185,-24.2275,-66.9267,534
-24.6958,-66.8425,12270,-24.6817,-66.8767,472
-24.0958,-67.3533,13914,-24.1592,-67.3325,344
-24.225,-67.7592,13375,-24.2008,-67.75,329
-24.2675,-67.96,11673,-24.3883,-67.8825,1876
-24.3383,-67.8833,12893,-24.335,-67.8967,325
-24.5417,-67.9367,11473,-24.4567,-67.8308,305
-24.66,-67.0292,11981,-24.8758,-67.0283,548
-24.7575,-67.3167,13034,-24.7158,-67.3183,391
-24.1775,-68.2983,9947,-24.1642,-68.275,322
-24.3242,-68.2658,11748,-24.3275,-68.2517,348
-24.53,-68.3375,13546,-24.6192,-68.3958,922
-24.535,-68.2117,11663,-24.4525,-68.2908,1063
-24.6133,-68.21,12030,-24.6033,-68.2083,607
-24.6233,-68.9533,9671,-24.2542,-68.8267,470
-24.6817,-68.3917,13113,-24.7242,-68.3825,305
-24.835,-68.31,12299,-24.6733,-68.1525,1483
-24.9258,-68.0083,11368,-24.9192,-67.4025,616
-24.9367,-68.5308,14068,-24.9233,-68.5625,321
-24.2175,-69.0675,10127,-24.22,-69.07,470
-24.2217,-69.0808,10016,-24.2208,-69.085,325
-24.27,-69.0692,8736,-24.3392,-69.0825,1336
-24.4633,-70.3183,6105,-24.6517,-70.35,706
-24.565,-70.3392,6227,-24.5175,-70.3275,557
-24.7025,-70.3583,6443,-24.7383,-70.3667,335
-24.8242,-70.3417,5938,-24.8483,-70.32,371
-24.4975,15.4542,2529,-24.4808,15.4333,302
-24.56,15.4525,2375,-24.495,15.3908,321
-24.5925,15.4125,2260,-24.5892,15.41,341
-24.605,15.5475,2434,-24.62,15.5925,331
-24.6167,15.3442,2142,-24.6117,15.3325,321
-24.6217,15.3008,2027,-24.6075,15.3033,318
-24.6275,15.4683,2234,-24.6325,15.4592,420
-24.635,15.4483,2280,-24.6433,15.4383,338
-24.6392,15.525,2460,-24.6308,15.4992,309
-24.6433,15.4325,2211,-24.6425,15.4233,367
-24.6467,15.4917,2372,-24.6642,15.4958,311
