latitude,longitude,elevation,prominence,name_local,name_en,wikipedia
19.0303,-97.2703,5591.6,5591.6,Pico de Orizaba,,
2.9239,-76.0269,5377.59,2639.25,,,
43.7897,88.4111,5337.77,4014.31,,,
6.4944,-72.2975,5336.45,3573.19,Ritacuba Blanco,,en:Ritacuba Blanco
37.6928,101.5061,5237.24,1481.87,岗什卡,Gangshika,en:Gangshiqia Peak
39.7022,44.2983,5111.0,3583.75,Ağrı Dağı,Mount Ararat,ku:Çiyayê Agirî
0.3856,29.8725,5024.42,3844.0,Margherita,Margherita Peak (Mount Stanley),
-78.5255,-85.6171,4918.81,4918.81,Vinson Massif,,en:Vinson Massif
56.0578,160.6439,4845.56,4741.02,Ключевская Сопка,Klyuchevskaya Sopka,ru:Ключевская Сопка
45.8328,6.8647,4810.72,4696.07,Mont Blanc - Monte Bianco,,fr:Mont Blanc
38.2669,47.8367,4805.46,3274.67,سبلان,Sabalan,fa:سبلان
-4.0833,137.185,4803.99,4803.99,,,
13.2361,38.3683,4523.76,3972.2,Ras Dashen,,en:Ras Dashen
-84.3278,166.45,4510.99,2586.68,,,
29.5117,57.2711,4489.62,2729.32,کوه هزار,Hezar,fa:کوه هزار
-5.7858,145.0325,4474.72,2936.32,,,
49.8075,86.59,4449.31,3285.53,Белуха,Belukha,ru:Белуха (гора)
36.5785,-118.2924,4410.8,3064.24,Mount Whitney,,en:Mount Whitney
30.9519,51.4361,4402.27,2589.59,دنا,Dena,fa:دنا
39.1178,-106.4453,4399.18,2767.28,Mount Elbert,,en:Mount_Elbert
46.8529,-121.7604,4392.47,4112.97,Columbia Crest,,
6.8267,39.8189,4388.19,2521.86,Tullu Dimtu,,en:Mount Tullu Dimtu
41.409,-122.1949,4316.58,2977.29,Mount Shasta,,en:Mount Shasta
-77.0403,-126.0958,4268.02,2501.24,Mount Sidley,,en:Mount Sidley
19.5628,-103.6083,4244.59,2685.41,Nevado de Colima,,
43.1843,-109.6543,4212.95,2161.03,Gannett Peak,,en:Gannett Peak
15.0433,-91.9036,4212.15,3976.07,Tajumulco,,es:Volcán Tajumulco
46.6175,93.5945,4206.65,1830.05,Сутай хайрхан уул,Sutai Mountain,
19.8207,-155.468,4205.02,4205.02,Mauna Kea,,en:Mauna Kea
31.06,-7.915,4158.45,3749.84,Jabal Tūbqāl,Toubkal,
-71.7867,168.7508,4153.54,2638.93,Mount Minto,,
-80.3667,77.3542,4086.32,1344.14,Dome Argus,,en:Dome A
6.075,116.5583,4057.26,4057.26,Gunung Kinabalu,Mount Kinabalu,en:Mount Kinabalu
4.2181,9.1733,4029.2,3903.81,Mont Cameroun,Mount Cameroon,fr:Mont Cameroun
-8.8928,147.5331,4024.35,2761.39,Mount Victoria,,"en:Mount Victoria, Papua New Guinea"
-46.5958,-73.3444,4022.63,3661.46,Monte San Valentín,Monte San Valentin,es:Monte San Valentín
