latitude,longitude,elevation,name_local,name_en,wikipedia
51.7189,100.5972,3481.97,Мунку-Сардык,,ru:Мунку-Сардык
-29.4683,29.2692,3480.01,Thabana Ntlenyana,Thabana Ntlenyana,en:Thabana Ntlenyana
37.0533,-3.3117,3472.3,Pico de Mulhacén,,es:Mulhacén
3.7975,97.2189,3459.96,,,
19.7939,18.5522,3446.97,,,
-3.385,120.0242,3432.75,Buntu Rantemario,,en:Mount Latimojong
-7.2386,109.22,3424.58,Gunung Slamet,Slamet,en:Mount Slamet
66.9356,-36.7856,3394.74,Mont Forel,,
42.6311,0.6564,3364.9,Tuca d'Aneto / Maladeta de Corones,Aneto,an:Tuca d'Aneto
23.2061,-104.9442,3334.75,Cerro Gordo,,
37.755,14.9953,3323.78,Etna,Etna,it:Etna
36.2808,59.0494,3314.01,شیرباد,Shirbad,fa:شیرباد
25.9561,-107.0478,3299.94,Cerro Mohinora,,en:Cerro Mohinora
8.8753,34.8153,3276.06,Mount Tulu Welel,,en:Mount_Welel
72.5531,-37.58,3230.71,,,
-69.7981,-64.4544,3212.04,Mount Hope,,en:Mount Hope (Palmer Land)
-73.4622,61.8783,3211.2,,,
-73.4425,-126.7508,3195.14,,,
3.9461,32.9103,3179.08,Mount Kinyeti,,en:Kinyeti
-4.0156,103.1281,3154.84,Gunung Dempo,Mount Dempo,
-71.8764,6.67,3143.5,,,
-71.3606,-63.4275,3125.06,,,
22.3036,103.7755,3113.48,Phan Xi Păng,Fansipan,vi:Phan Xi Păng
31.4403,110.3072,3103.07,神农顶,Shennong Mountaın,
19.0319,-71.0053,3093.98,,,
28.2528,-107.5944,3080.65,Gasachi,,
21.2336,93.90299999999999,3077.34,နတ်မတောင,Nat Ma Taung,en:Nat Ma Taung
36.6053,30.1206,3062.94,Kızlarsivrsi Dağı,,
39.0806,113.56700000000001,3061.85,北台顶,Wutai Shan North Terrace,en:Mount Wutai
30.9903,-115.3739,3051.87,Picacho del Diablo,,es:Cerro de La Encantada (México)
22.2739,-102.6072,3049.35,,,
-21.0989,55.48,3045.5,Piton des Neiges,,fr:Piton des Neiges
-3.1733,129.4556,3031.82,Gunung Binaiya,Mount Binaiya,
12.9436,24.2344,3010.89,,,
-72.15,23.2608,3010.24,,,
17.9286,43.2655,2995.85,,,
-82.4606,-103.8889,2994.88,,,
-15.9494,35.5931,2992.36,Sapitwa,,fr:Sapitwa
23.2375,57.2642,2988.9,جبل الشام,Jabal ash Sham,
56.8775,117.5047,2980.02,,,
57.3464,-124.0928,2977.14,Mount Ulysses,,en:Mount Ulysses
65.1772,146.0117,2976.51,Победа,Peak Pobeda,ru:Победа (гора)
-9.0775,34.0225,2960.63,,,
63.4314,-130.3244,2953.42,Keele Peak,,en:Keele Peak
-8.9064,125.4933,2951.92,Tatamailau,Mount Ramelau,pt:Monte Ramelau
62.6044,140.9411,2948.64,Мус-Хая,,ru:Мус-Хая
6.9875,125.2708,2946.19,Mount Apo,,
-54.4497,-36.5236,2925.46,Mount Paget,,en:Mount Paget
73.0908,-28.6183,2922.73,Petermann Bjerg,Petermann Peak,en:Petermann Peak
16.5978,120.8989,2922.57,Mount Pulag,,en:Mount Pulag
42.1792,23.5853,2921.37,Мусала,Musala,bg:Мусала
0.0786,99.9839,2899.83,Gunung Ophir,Mount Talakmau,
-72.5492,0.6542,2899.31,,,
23.2886,5.5339,2882.21,تاهات,Tahat,ar:تاهات
42.4697,13.5644,2878.17,Corno Grande - Vetta Occidentale,,it:Corno Grande
63.1606,-44.7867,2877.23,,,
-20.4342,-41.7964,2877.21,Pico da Bandeira,,en:Pico da Bandeira
-41.9958,173.6628,2876.73,Tapuae-o-Uenuku,,en:Tapuae-o-Uenuku
-14.0222,48.9669,2876.05,Maromokotro,,
54.7553,-163.9708,2850.86,Shishaldin Volcano,,en:Mount Shishaldin
18.9808,103.1517,2824.95,ພູເບຍ,Phou Bia,en:Phou Bia
3.6633,-65.4083,2821.4,Cerro Marahuaca,,en:Cerro Marahuaca
48.4656,107.4128,2800.79,Асралт хайрхан,,en:Asralt Khairkhan
54.6225,110.4572,2793.97,пик Байкал,,
-22.4281,-44.8428,2793.44,Pedra da Mina,,en:Pedra da Mina
-64.6242,-63.4383,2787.41,,,
14.95,-24.3425,2781.54,Pico de Fogo,,
17.5622,38.0056,2762.02,,,
-53.1036,73.5175,2750.4,Mawson Peak (Big Ben),,en:Mawson Peak
10.5428,-66.7825,2749.86,Pico Naiguatá,Peak Naiguata,es:Pico Naiguatá
41.9933,128.0778,2737.78,장군봉,Changgun Peak,
-85.0464,-90.9639,2733.42,,,
69.2025,-143.8011,2720.8,Mount Isto,,en:Mount Isto
