id,latitude,longitude,elevation,isolation
320292,30.2617,67.3025,3578.05,264325.3
321367,6.1933,37.3942,3567.99,202142.4
324174,38.8333,105.95,3539.95,298785.4
324306,47.1725,100.3767,3538.73,217212.6
324307,47.1717,100.3758,3538.73,217179.5
327972,34.0992,-116.825,3504.9,261508.0
328723,-76.0558,-135.8242,3497.88,274132.3
329448,51.7192,100.5967,3490.87,465767.5
329555,-80.2167,157.4333,3489.96,238751.7
330401,-29.4683,29.2692,3482.04,3003216.8
330742,37.0533,-3.3117,3478.99,526297.0
330884,-3.385,120.0242,3478.07,681296.1
331332,33.9058,-109.5625,3475.63,247910.8
334249,3.7975,97.2192,3465.88,755232.4
336685,19.7925,18.5467,3444.85,1998771.6
339419,-7.2392,109.22,3428.09,419066.4
339795,-72.1267,26.0783,3425.04,254739.9
342293,9.2567,41.7292,3404.92,220711.9
342407,42.6308,0.6567,3404.01,507506.9
343726,66.935,-36.7875,3390.9,356783.7
347555,-73.4558,61.4642,3354.93,391327.2
347864,23.2058,-104.9442,3351.89,423100.8
351473,37.75,14.995,3322.93,996788.5
352404,21.0408,16.4733,3315.0,218823.4
352526,36.2808,59.0492,3314.09,378148.5
353718,25.9558,-107.0475,3303.12,371621.8
355637,48.7767,-121.8142,3286.05,211455.2
357967,-75.0142,123.5675,3265.93,249947.7
357968,-75.13,123.2042,3265.93,233608.9
360651,8.8742,34.8167,3243.99,254203.6
361489,72.5275,-37.4533,3237.89,485060.6
368357,3.9467,32.91,3186.99,346694.9
368758,-71.3583,-63.4483,3183.94,979681.5
370255,-4.0158,103.1283,3172.97,328477.3
374897,22.3033,103.775,3141.88,328293.7
379817,-73.25,-126.1,3109.87,358625.3
380707,31.4483,110.3042,3105.0,363349.0
382152,19.0233,-70.9975,3097.99,921364.6
382777,30.9925,-115.375,3094.94,334321.1
383790,57.3933,-132.3033,3090.06,310889.5
384198,34.3008,36.1158,3087.93,362974.9
385571,28.2525,-107.595,3080.92,240701.4
386339,-69.7758,-69.7875,3076.96,294082.2
387246,56.8642,117.575,3072.08,1150913.7
387426,-21.0992,55.48,3070.86,2766299.3
387613,36.5933,30.15,3069.95,367268.9
388142,55.9742,114.4392,3066.9,217399.5
