summitId,latitude,longitude,elevation
1083900,-81.9417,-89.8042,2483.52
1085146,-7.5039,29.9867,2481.97
1088774,-22.6497,17.1831,2477.84
1091830,67.4128,-154.965,2473.85
1102272,76.4694,-25.6433,2460.85
1103618,61.6361,8.3128,2459.01
1109116,35.2264,24.7708,2452.65
1109619,-31.7586,24.5397,2452.0
1114626,10.7364,47.2442,2445.49
1128611,61.8886,171.17,2429.29
1172299,61.9219,-133.3678,2380.2
1173752,23.9767,39.2825,2378.66
1180725,67.5822,128.1439,2370.86
1180808,55.8975,130.4539,2370.77
1194412,53.6075,134.5764,2356.52
1194485,-11.7589,43.3669,2356.42
1198987,-5.0508,151.3311,2351.54
1204848,40.9761,110.6189,2345.63
1215249,38.4689,-28.3992,2334.84
1222121,-74.1519,-66.4733,2328.22
1222304,-25.2094,30.1497,2328.02
1223878,-9.7036,160.0622,2326.27
1227419,35.3183,6.6369,2322.6
1236976,-33.3981,21.3681,2313.19
1239262,-0.6597,112.6886,2310.88
1250857,71.4011,-51.8358,2299.6
1251263,36.4478,4.2281,2299.22
1263195,43.6636,142.8542,2287.95
1291070,71.0819,-8.1767,2262.19
1299555,50.5742,134.5939,2254.72
1309860,1.8197,115.2725,2245.61
1319824,32.9117,-0.4675,2236.39
1330967,-36.4561,148.2636,2226.46
1342026,66.7706,-65.1583,2216.91
1352606,-70.1944,64.8,2208.16
1366860,-27.18,18.7286,2196.24
1383762,4.6328,102.2344,2182.17
1386965,64.2175,133.5594,2179.41
1390215,-71.0136,65.1467,2176.7
1392481,66.0394,-52.2544,2175.01
1396917,-67.3731,164.7556,2171.67
1415715,27.8603,117.7833,2156.67
1430893,14.6731,48.7808,2144.98
1433901,-19.6153,17.6203,2142.59
1461953,25.8667,110.4128,2121.63
1467129,16.1714,99.0367,2117.6
1468682,26.3133,114.04,2116.41
1481478,11.3264,49.7486,2107.06
1502972,64.0139,-16.6783,2091.51
1507829,67.9008,18.5172,2088.27
1513626,-24.4706,27.5892,2084.12
1516426,79.9256,-92.3075,2082.1
1518891,53.1264,-168.6953,2080.47
1536886,-17.1997,13.0208,2068.13
1550100,-25.2706,15.7547,2059.21
1562791,42.6156,117.7958,2050.75
1562938,13.4667,98.805,2050.69
1578541,-37.1117,-12.2889,2040.09
1579293,-66.7003,54.84,2039.64
1582933,35.7649,-82.2651,2037.28
1584778,-83.3819,-51.3833,2035.98
1592994,-13.2967,-41.9075,2030.42
1626666,15.3086,26.5497,2008.58
1637990,47.1164,136.5683,2001.66
1638459,17.8392,8.7206,2001.37
1643729,61.4864,155.3145,1997.79
1666331,19.0136,8.6014,1983.72
1678654,0.2692,6.5417,1976.36
1686717,-24.6153,46.7042,1971.2
1719389,33.8544,134.0947,1951.6
1727025,27.47,-112.5919,1946.8
1728739,83.3183,-33.2,1945.82
1740423,73.23,-78.6233,1938.94
1752755,9.2275,-11.115,1931.59
1760929,30.3361,130.5042,1926.95
1764704,33.3617,126.5358,1924.52
1778944,44.2705,-71.3034,1916.58
1792854,-8.8611,27.0653,1908.48
1817717,-80.6578,-24.6667,1894.42
1823247,21.9158,24.9997,1891.49
1824110,-13.3439,29.6103,1891.0
1826974,65.035,60.1139,1889.28
1844410,-15.3631,166.7545,1879.71
1846187,67.8169,178.2939,1878.68
1870204,-2.7106,115.6258,1865.1
1874187,-13.6186,-172.4869,1862.82
1882901,70.7994,-71.6508,1858.08
1889212,-27.8858,23.5631,1854.78
1890999,43.695,134.1994,1853.72
1892425,-25.2411,-48.8297,1852.88
1895541,32.7589,-16.9428,1851.15
1899446,17.1625,54.8542,1848.96
1922586,-17.6097,-149.4953,1836.48
1929651,30.1347,118.1642,1832.84
1948957,-27.9097,-49.3219,1822.59
1959645,18.8994,109.7044,1817.12
1969258,66.0247,163.2383,1812.03
1976841,12.0328,104.1711,1808.19
1997980,51.8831,-178.1442,1797.2
2012966,-9.2442,27.8183,1789.6
2019079,63.645,-50.3989,1786.54
2022833,8.4942,99.7294,1784.74
2030442,65.3378,165.5622,1781.07
2033322,67.5389,168.1383,1779.59
2037902,45.4725,114.5892,1777.23
2060063,9.9342,9.0344,1766.46
2082983,7.6219,-8.4083,1755.34
2098674,-17.195,30.6883,1747.78
2099348,47.0578,120.5219,1747.47
2118965,-11.1133,26.3914,1738.13
2137310,47.5422,120.48,1729.63
2148791,80.4328,-19.6903,1724.39
2167732,59.3242,114.4233,1715.85
2169517,24.65,72.7769,1715.02
2192446,79.0106,17.4917,1704.82
2192949,0.0425,-91.335,1704.57
2245681,-73.6525,-94.095,1681.61
2251453,69.1264,95.3117,1679.08
2251508,18.2281,82.7228,1679.06
2268253,-13.9522,-47.5208,1672.15
2286071,-49.5942,69.4939,1664.53
2347601,-68.8275,-90.6317,1639.08
2350278,54.255,58.1042,1638.01
2375517,-20.5886,164.7708,1627.66
2376964,-20.6217,29.9033,1627.06
2410323,-17.3994,145.8181,1613.85
2410876,-21.88,166.4225,1613.62
2420845,-41.8711,146.0333,1609.81
2430992,45.9044,-68.9214,1605.69
2431810,50.8517,143.1422,1605.34
2436139,11.9033,18.1908,1603.62
2436823,50.7361,15.7397,1603.35
2447698,-32.0031,151.4469,1599.25
2447921,19.6014,73.7089,1599.15
2449124,22.0586,-159.4975,1598.68
2462199,58.9444,-63.79,1593.36
2487388,-30.4378,152.2403,1583.65
2520107,-41.5331,147.6589,1571.12
2539588,59.6319,59.1347,1563.81
2545290,48.4236,75.4714,1561.64
2574376,-16.2828,28.1236,1550.73
2580609,-14.7339,26.8431,1548.33
2604886,27.5097,41.5486,1539.36
2605695,75.1758,57.825,1539.08
2618586,12.1119,-12.2636,1534.25
2642947,51.2972,123.1283,1525.42
2662447,-23.4011,132.3956,1518.3
2663792,46.8144,151.7875,1517.79
2675373,12.575,54.0222,1513.74
2687820,23.2789,44.593,1509.16
2691609,-20.2667,-46.4344,1507.81
2760152,38.3947,-79.9918,1484.0
2779154,76.4386,-62.2592,1477.62
2779590,50.8844,118.1775,1477.46
2795298,10.8881,13.7806,1472.06
2822471,62.9144,176.515,1462.95
2829931,16.0447,-61.6639,1460.4
2836419,11.9828,31.0703,1458.22
2903837,17.9203,73.675,1436.32
2905520,-26.3183,131.7442,1435.79
2955330,16.705,52.53,1420.13
2999408,64.9922,-165.3294,1406.44
3012597,24.7272,42.6739,1402.47
3039094,-33.3442,148.9822,1394.29
3055752,-66.7289,112.8333,1389.26
3062054,-18.7722,21.7533,1387.3
3084353,29.3667,37.2397,1380.66
3099154,76.92,16.14,1376.22
3118395,9.1369,23.1461,1370.46
3122494,-33.7625,-80.8128,1369.3
3154183,17.1458,22.4967,1359.9
3214207,56.7967,-5.0036,1342.64
3262647,18.1722,-66.5919,1328.76
3273614,22.4153,78.4092,1325.63
3274003,14.3433,21.6581,1325.52
3282058,-17.6147,178.0183,1323.27
3346634,-18.1206,-60.0167,1305.29
3353736,-23.9861,-51.1114,1303.29
3435911,-60.5811,-45.4783,1280.97
3458369,48.9875,-65.9486,1274.93
3461596,41.9991,-74.386,1274.06
3488872,-21.0153,148.6014,1266.76
3491489,81.4936,-52.6292,1266.04
3517670,-24.9528,148.125,1259.17
3535940,3.6825,-56.5356,1254.34
3537523,-9.8086,-139.0719,1253.91
3563469,-22.9806,118.5878,1247.15
3589817,-46.9039,37.7097,1240.21
3598858,-38.1583,-61.9517,1237.86
3615153,23.4889,83.6117,1233.78
3679191,20.5261,31.5283,1217.32
3726753,-23.1014,134.9036,1205.36
3746743,-8.16,-36.3922,1200.39
3746869,67.725,33.475,1200.36
3771949,53.6461,-58.5542,1194.12
3795717,64.8558,-173.4339,1188.16
3803296,21.6483,86.3589,1186.32
3817304,22.9936,81.6544,1182.89
3843687,21.3764,77.2514,1176.3
3894801,-37.2931,142.6014,1163.92
3909908,1.5283,-59.2394,1160.33
3916888,-31.5039,138.5519,1158.64
3940385,-59.0403,-26.5325,1153.01
3940389,-59.0403,-26.5325,1153.01
3948423,75.8975,107.7075,1151.13
3954484,15.2606,-1.6644,1149.7
3963429,52.3219,-70.4458,1147.61
3972235,-77.6244,-153.6858,1145.57
3989417,-4.7664,-40.1314,1141.48
4028646,47.1608,72.675,1132.33
4037354,15.06,30.4153,1130.28
4037365,21.9897,-80.1475,1130.27
4045192,28.2003,13.9703,1128.45
4053867,59.8247,92.8539,1126.5
4064074,48.6444,66.9453,1124.18
4091384,31.225,38.5322,1117.94
4103264,-10.8319,-63.5775,1115.24
4112218,-0.1964,104.5503,1113.24
4120556,-4.2083,-38.9747,1111.4
4127928,36.1753,120.6261,1109.73
4156408,51.5311,-68.0769,1103.33
4234917,27.3233,17.2136,1085.98
4249783,-19.5767,169.3883,1082.66
4275627,-19.6033,144.0553,1077.13
4287905,53.0686,-4.0761,1074.5
4300418,0.9553,13.6858,1071.8
4330039,-46.4178,52.2472,1065.5
4349478,-34.3761,118.2553,1061.43
4350982,21.5278,70.5292,1061.11
4360459,-19.2014,-57.5925,1059.09
4411143,27.6583,75.3922,1048.51
4435859,-17.7844,-48.6867,1043.4
4440137,-17.2372,-51.7761,1042.56
4441225,50.9794,-65.4892,1042.34
4442724,18.7906,-110.9758,1042.01
4459601,-1.6164,11.765,1038.58
4487571,51.9992,-9.7428,1032.9
4498571,-19.6681,-175.0161,1030.62
4541827,-16.3128,-52.3183,1021.93
4647379,3.9761,108.3361,1000.99
4647749,59.1906,-115.5994,1000.92
4669948,7.0858,0.6625,996.51
4700043,76.3461,65.0033,990.72
4741118,55.9817,100.9783,982.64
4741699,-17.4361,127.2364,982.52
4746360,-74.8019,-99.2358,981.63
4823653,52.8933,172.9808,966.82
4829488,-24.3564,150.9395,965.73
4832476,31.975,13.3197,965.18
4864149,18.7683,145.675,959.11
4879398,79.5903,99.1492,956.23
