latitude,longitude,jut_m,jut_height_m,jut_angle_deg,jut_base_latitude,jut_base_longitude,dominance_m,dominance_base_latitude,dominance_base_longitude,elevation_m,prominence_m,key_col_latitude,key_col_longitude
-69.1939,-70.7028,1594.654451,2249.776093,45.13783872,-69.17955797,-70.66292658,3003.776353,-69.26175382,-70.11181016,3050.99,3004.63,-72.7189,-69.5989
-4.7083,140.2897,1589.374803,2691.002055,36.20141787,-4.736049922,140.2703171,4482.574555,-4.979403533,140.0318144,4698.61,2697.58,-3.7783,138.7603
61.8039,-154.1472,1588.341985,2234.455578,45.30335889,61.79561894,-154.1849579,2499.790341,61.52808718,-154.539242,2946.98,2056.79,61.4183,-152.7411
30.9192,79.5922,1583.263594,2144.338636,47.59069979,30.90884453,79.57572328,7147.433883,30.33435843,79.45212659,7733.85,2792.16,30.8781,79.9803
-13.3333,-72.5436,1566.057636,2645.087157,36.30352585,-13.30193531,-72.55332978,5099.906537,-12.72144398,-72.55171281,6225.69,2503.53,-13.44,-72.3572
-41.1608,-71.8883,1565.08373,2494.514557,38.85930484,-41.13891587,-71.86541142,3316.17086,-41.38092201,-72.27746864,3433.42,2609.08,-40.1094,-71.2275
28.0475,90.4544,1557.028081,1955.87871,52.75700406,28.03745608,90.46286686,6285.423982,27.22897233,90.06994375,7501.17,2927.62,27.8392,89.1778
-9.1208,-77.605,1545.900003,3426.74762,26.81604465,-9.165808781,-77.64660927,6125.36691,-9.486237843,-78.27048923,6736.75,2770.39,-21.7228,-68.2728
31.6756,51.0286,1529.524095,2448.446628,38.6595569,31.65056999,51.012902,2788.704156,31.64410212,50.58359712,3855.07,1595.06,31.9622,50.9875
-16.6542,-67.7844,1527.263644,3568.699218,25.33822166,-16.72162847,-67.77690907,5289.220743,-16.31927305,-67.44812568,6404.52,1883.63,-16.5694,-67.8536
28.3556,85.7778,1523.020536,2137.356835,45.44456375,28.33982901,85.76315078,6943.162358,27.90640535,85.23807401,7920.27,2802.27,28.715,83.82
63.62,-146.7167,1520.533502,2218.783296,43.25925146,63.63680595,-146.6873491,3598.344805,63.79446028,-146.0173855,4186.4,3473.49,63.2908,-149.1972
41.0594,77.6839,1496.541728,1972.345498,49.3552205,41.06293787,77.664569,3869.219751,40.36036549,77.51419102,5875.08,2572.04,42.4133,79.3664
-10.2672,-76.9056,1493.104817,2327.91384,39.89567998,-10.26446184,-76.88033484,5701.404576,-10.59351473,-77.76239061,6466.98,1885.28,-9.6858,-77.2539
-47.5911,-72.3106,1490.774817,2122.137098,44.62691997,-47.60436046,-72.29013489,3392.211584,-47.54426317,-72.86361937,3621.34,3235.13,-46.5964,-70.9239
42.6969,44.5181,1467.608805,2957.222501,29.75415524,42.72025321,44.57268857,4389.902153,43.14982758,44.35951835,5025.24,2336.1,42.6008,44.063
27.0986,100.1761,1466.832757,2213.70725,41.49951456,27.09638099,100.1509277,4090.591381,26.77056204,100.3781116,5445,3047.02,26.7828,99.9967
36.73,73.2397,1461.839433,2106.537597,43.94389437,36.74960067,73.23559367,4548.724427,36.2208523,73.71340757,6828.46,2518.23,36.88,73.6703
34.8667,77.7522,1455.246613,2214.920812,41.0729725,34.88935591,77.74865131,4449.880857,34.64842775,77.44466142,7616.14,2254.15,35.0361,77.7325
57.0447,-132.0453,1448.970261,2797.779051,31.19150452,57.04065648,-131.9697108,2968.159074,57.04281244,-131.8217583,3005.38,1363.02,57.2339,-132.1389
35.9544,52.1105,1436.54665,3603.03921,23.49719299,35.93303208,52.19857685,5289.620708,36.49581314,52.17550164,5598.75,4660.82,42.0236,43.4967
-62.995,-62.5511,1422.05348,2039.183244,44.21591754,-62.9962742,-62.59210274,2039.257145,-62.9965437,-62.59210274,2039.59,2039.59,-63.1197,-62.3847
61.3847,-141.7511,1410.653156,3073.199885,27.32373991,61.33316623,-141.7240673,4466.466819,61.13273862,-142.3141591,4994.49,2092.49,61.355,-141.3406
-64.6242,-63.4383,1407.294712,2214.565035,39.45502205,-64.64180814,-63.40004751,2777.731366,-64.55610886,-63.29790906,2787.41,2787.41,-64.8025,-63.1092
56.0578,160.6439,1404.013775,3261.929097,25.4944947,56.0491859,160.7523433,4758.109429,56.32757381,160.7865691,4845.56,4741.02,60.3911,163.9028
-64.2594,-62.4061,1403.555141,2506.812248,34.04863306,-64.24915453,-62.47864552,2506.812248,-64.24915453,-62.47864552,2507.88,2507.88,-64.6358,-62.7197
-43.5953,170.1419,1384.602466,2737.361253,30.38556793,-43.6079489,170.1963433,3648.265235,-43.37995648,169.9408625,3658.09,3658.09,0,0
30.4386,81.2964,1383.548667,1762.466338,51.72133904,30.43049164,81.30722599,6027.786367,29.86131907,80.55398862,7645.59,2741.94,29.9661,82.5317
-3.0764,37.3536,1374.118915,3569.085583,22.64410494,-3.139294505,37.30748537,5043.207575,-3.419914729,37.44024488,5886.79,5886.79,0,0
-34.7558,-69.9711,1372.198868,2974.443495,27.47293836,-34.80194383,-69.99771262,4275.690913,-34.44863643,-70.85955631,5140.33,1893.96,-34.6836,-69.9686
60.8825,-43.7506,1360.627365,1693.154713,53.47573372,60.89119511,-43.73556662,2463.668688,60.8400675,-43.50369995,2471.1,805.51,60.8758,-43.8322
-54.4497,-36.5236,1353.714456,2682.521748,30.30762298,-54.49094873,-36.53861239,2914.408384,-54.50719477,-36.57240054,2925.46,2925.46,0,0
-54.45,-70.8311,1348.074076,2060.398875,40.86494221,-54.47108249,-70.82758777,2194.926166,-54.52740686,-70.94320095,2183.91,2062.81,-54.6547,-70.77
43.4381,86.0855,1342.019615,2407.963692,33.87104062,43.44007325,86.12983159,4138.132641,44.06341422,86.04062888,5242.01,2568.07,43.1419,84.3561
52.1472,-117.4417,1341.701919,2250.939733,36.58844903,52.17393013,-117.4330715,2908.738489,51.95725648,-117.8979497,3684.97,2548.92,52.8911,-118.465
30.4917,97.6617,1337.775025,2568.738225,31.38530626,30.47819218,97.62081121,2710.328899,30.38225211,97.73669388,5578.47,1313.14,31.6064,97.8992
54.7528,160.5325,1333.041639,2569.316739,31.25388207,54.71680467,160.5531868,3469.031668,54.55915034,160.6011568,3513.57,2714.05,54.8206,160.5642
